month_start,sales_amount,order_count,customer_count,budget_amount,budget_variance,budget_attainment,coverage_status
2019-01-01,495364.1261,252.0,252.0,,,,sales_only
2019-02-01,504139.778,258.0,258.0,,,,sales_only
2019-03-01,373483.0054,212.0,212.0,,,,sales_only
2019-04-01,400335.6145,219.0,219.0,,,,sales_only
2019-05-01,358877.8907,207.0,207.0,,,,sales_only
2019-06-01,555160.1428,318.0,318.0,,,,sales_only
2019-07-01,444558.2281,246.0,246.0,,,,sales_only
2019-08-01,523917.3815,294.0,294.0,,,,sales_only
2019-09-01,486177.4502,269.0,269.0,,,,sales_only
2019-10-01,535159.4846,313.0,313.0,,,,sales_only
2019-11-01,537955.517,324.0,324.0,,,,sales_only
2019-12-01,624502.1667,355.0,354.0,,,,sales_only
2020-01-01,857689.9099999999,632.0,627.0,800000.0,57689.909999999916,1.0721123874999998,sales_and_budget
2020-02-01,771348.74,1421.0,1373.0,800000.0,-28651.26000000001,0.964185925,sales_and_budget
2020-03-01,1049907.39,1690.0,1631.0,1000000.0,49907.3899999999,1.04990739,sales_and_budget
2020-04-01,1046022.77,1612.0,1564.0,1000000.0,46022.77000000002,1.04602277,sales_and_budget
2020-05-01,1284592.93,1792.0,1719.0,1100000.0,184592.92999999993,1.1678117545454545,sales_and_budget
2020-06-01,1643177.78,2007.0,1948.0,1100000.0,543177.78,1.493797981818182,sales_and_budget
2020-07-01,1371675.81,1875.0,1796.0,1500000.0,-128324.18999999994,0.91445054,sales_and_budget
2020-08-01,1551065.56,1966.0,1900.0,1500000.0,51065.560000000056,1.0340437066666668,sales_and_budget
2020-09-01,1447495.69,1884.0,1832.0,1500000.0,-52504.310000000056,0.9649971266666666,sales_and_budget
2020-10-01,1673293.41,2131.0,2073.0,1500000.0,173293.40999999992,1.11552894,sales_and_budget
2020-11-01,1780920.0599999998,2087.0,2036.0,1500000.0,280920.0599999998,1.1872800399999999,sales_and_budget
2020-12-01,1874360.29,2192.0,2133.0,2000000.0,-125639.70999999996,0.937180145,sales_and_budget
2021-01-01,45694.72,871.0,834.0,800000.0,-754305.28,0.0571184,sales_and_budget
,,,,800000.0,,,budget_only
,,,,1000000.0,,,budget_only
,,,,1000000.0,,,budget_only
,,,,1100000.0,,,budget_only
,,,,1100000.0,,,budget_only
